match_id,season,date,venue,player,runs,balls_faced,fours,sixes,dismissal_type,was_dismissed,strike_rate,balls_bowled,runs_conceded,wickets,overs_bowled,economy,maiden_overs,team,opponent,catches,stumpings,runouts,fantasy_points,runs_form_5,strike_rate_form_5,wickets_form_5,economy_form_5,fantasy_points_form_5,runs_career_avg,wickets_career_avg,fantasy_points_career_avg,fantasy_points_venue_avg,fantasy_points_vs_opponent_avg
202201,2022,2022-03-26,"Wankhede Stadium, Mumbai",Venkatesh Iyer,16.0,16.0,2.0,0.0,caught,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,CSK,0.0,0.0,0.0,18.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Anmolpreet Singh,8.0,9.0,0.0,0.0,caught,True,88.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,MI,DC,0.0,0.0,0.0,8.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Axar,38.0,17.0,2.0,3.0,,False,223.52941176470588,24.0,40.0,0.0,4.0,10.0,0.0,DC,MI,0.0,0.0,0.0,50.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Basil Thampi,0.0,0.0,0.0,0.0,,False,0.0,24.0,35.0,3.0,4.0,8.75,0.0,MI,DC,0.0,0.0,0.0,79.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Bumrah,0.0,0.0,0.0,0.0,,False,0.0,20.0,43.0,0.0,3.3333333333333335,12.899999999999999,0.0,MI,DC,0.0,0.0,0.0,0.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Daniel Sams,7.0,2.0,0.0,1.0,,False,350.0,24.0,57.0,0.0,4.0,14.25,0.0,MI,DC,1.0,0.0,0.0,17.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Ishan Kishan,81.0,48.0,11.0,2.0,,False,168.75,0.0,0.0,0.0,0.0,0.0,0.0,MI,DC,1.0,0.0,0.0,112.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",K Nagarkoti,0.0,0.0,0.0,0.0,,False,0.0,12.0,29.0,0.0,2.0,14.5,0.0,DC,MI,0.0,0.0,0.0,0.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Khaleel Ahmed,0.0,0.0,0.0,0.0,,False,0.0,24.0,27.0,2.0,4.0,6.75,0.0,DC,MI,0.0,0.0,0.0,50.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Kuldeep Yadav,0.0,0.0,0.0,0.0,,False,0.0,24.0,18.0,3.0,4.0,4.5,0.0,DC,MI,0.0,0.0,0.0,79.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Lalit Yadav,48.0,38.0,4.0,2.0,,False,126.3157894736842,12.0,15.0,0.0,2.0,7.5,0.0,DC,MI,1.0,0.0,0.0,68.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Mandeep,0.0,2.0,0.0,0.0,caught,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,MI,1.0,0.0,0.0,6.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Murugan Ashwin,0.0,0.0,0.0,0.0,,False,0.0,24.0,14.0,2.0,4.0,3.5,0.0,MI,DC,0.0,0.0,0.0,50.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Pant,1.0,2.0,0.0,0.0,caught,True,50.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,MI,0.0,0.0,0.0,1.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Pollard,3.0,6.0,0.0,0.0,caught,True,50.0,0.0,0.0,0.0,0.0,0.0,0.0,MI,DC,0.0,0.0,0.0,3.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Powell,0.0,2.0,0.0,0.0,caught,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,MI,1.0,0.0,0.0,6.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Prithvi Shaw,38.0,24.0,4.0,2.0,caught,True,158.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,DC,MI,1.0,0.0,0.0,58.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Rohit,41.0,32.0,4.0,2.0,caught,True,128.125,0.0,0.0,0.0,0.0,0.0,0.0,MI,DC,1.0,0.0,0.0,61.0,,,,,,,,,,
202202,2022,2022-03-27,"Brabourne Stadium, Mumbai",Seifert,21.0,14.0,4.0,0.0,bowled,True,150.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,MI,1.0,0.0,0.0,33.0,,,,,,,,,,
